date,description,amount,account
2024-01-15,Salary Deposit,5000.00,Checking
2024-01-16,Grocery Store,125.50,Checking
2024-01-17,Gas Station,45.20,Checking
2024-01-18,Netflix Subscription,15.99,Credit Card
2024-01-19,Restaurant Dinner,67.80,Credit Card
2024-01-20,Amazon Purchase,89.99,Credit Card
2024-01-21,Utility Bill,120.00,Checking
2024-01-22,Car Insurance,150.00,Checking
2024-01-23,Pharmacy,35.60,Checking
2024-01-24,Spotify Premium,9.99,Credit Card
2024-01-25,Grocery Store,98.75,Checking
2024-01-26,Uber Ride,12.50,Credit Card
2024-01-27,Bookstore,24.99,Credit Card
2024-01-28,Rent Payment,1200.00,Checking
2024-01-29,Investment Transfer,500.00,Savings
2024-01-30,Restaurant Lunch,23.45,Credit Card
2024-02-01,Salary Deposit,5000.00,Checking
2024-02-02,Grocery Store,134.20,Checking
2024-02-03,Gas Station,52.30,Checking
2024-02-04,Netflix Subscription,15.99,Credit Card
2024-02-05,Restaurant Dinner,78.90,Credit Card
2024-02-06,Amazon Purchase,156.75,Credit Card
2024-02-07,Utility Bill,135.00,Checking
2024-02-08,Car Insurance,150.00,Checking
2024-02-09,Pharmacy,42.30,Checking
2024-02-10,Spotify Premium,9.99,Credit Card
2024-02-11,Grocery Store,112.40,Checking
2024-02-12,Uber Ride,18.75,Credit Card
2024-02-13,Bookstore,31.50,Credit Card
2024-02-14,Rent Payment,1200.00,Checking
2024-02-15,Investment Transfer,500.00,Savings
2024-02-16,Restaurant Lunch,28.60,Credit Card
2024-02-17,Salary Deposit,5000.00,Checking
2024-02-18,Grocery Store,145.80,Checking
2024-02-19,Gas Station,48.90,Checking
2024-02-20,Netflix Subscription,15.99,Credit Card
2024-02-21,Restaurant Dinner,92.40,Credit Card
2024-02-22,Amazon Purchase,203.25,Credit Card
2024-02-23,Utility Bill,142.00,Checking
2024-02-24,Car Insurance,150.00,Checking
2024-02-25,Pharmacy,38.75,Checking
2024-02-26,Spotify Premium,9.99,Credit Card
2024-02-27,Grocery Store,128.90,Checking
2024-02-28,Uber Ride,15.20,Credit Card
2024-02-29,Bookstore,27.80,Credit Card
2024-03-01,Rent Payment,1200.00,Checking
2024-03-02,Investment Transfer,500.00,Savings
2024-03-03,Restaurant Lunch,32.45,Credit Card
